#k-distance frequency[THz]
0.35858235 8.21923235
0.36123189 8.15964918
0.36388140 8.15946241
0.36653095 8.20348669
0.36918046 8.24361931
0.37183000 8.27973203
0.37447955 8.31171270
0.37712906 8.33946565
0.37977860 8.36291180
0.38242811 8.38198879
0.38507766 8.39665098
0.38772720 8.40686934
0.39037671 8.41263123
0.39302626 8.41394013
0.39567577 8.41081519
0.39832531 8.40329077
0.40097482 8.39141580
0.40362437 8.37525310
0.40627391 8.35487855
0.40892342 8.33038023
0.41157297 8.30185744
0.41422248 8.26941961
0.41687202 8.23318518
0.41952153 8.19328036
0.42217107 8.14983784
0.42482062 8.10299549
0.42747013 8.05289492
0.43011967 7.99968007
0.43276918 7.94349576
0.43541873 7.88448619
0.43806824 7.82279351
0.44071778 7.75855633
0.44336733 7.69190830
0.44601684 7.62297676
0.44866638 7.55188135
0.45131589 7.47873287
0.45396544 7.40363205
0.45661495 7.32666858
0.45926449 7.24792016
0.46191404 7.16745178
0.46456355 7.08531510
0.46721309 7.00154799
0.46986260 6.91617429
0.47251215 6.82920372
0.47516169 6.74063196
0.47781120 6.65044093
0.48046075 6.55859926
0.48311026 6.46506293
0.48575980 6.36977606
0.48840931 6.27267188
0.49105886 6.17367381
0.49370840 6.07269671
0.49635791 5.96964821
0.49900746 5.86443013
0.50165697 5.75693997
0.50430651 5.64707247
0.50695602 5.53472117
0.50960557 5.41977997
0.51225511 5.30214477
0.51490462 5.18171491
0.51755417 5.05839473
0.52020368 4.93209499
0.52285322 4.80273419
0.52550273 4.67023984
0.52815228 4.53454964
0.53080182 4.39561250
0.53345133 4.25338950
0.53610088 4.10785466
0.53875039 3.95899570
0.54139993 3.80681450
0.54404944 3.65132763
0.54669899 3.49256658
0.54934853 3.33057799
0.55199804 3.16542368
0.55464759 2.99718056
0.55729710 2.82594054
0.55994664 2.65181013
0.56259619 2.47491013
0.56524570 2.29537511
0.56789524 2.11335278
0.57054475 1.92900340
0.57319430 1.74249896
0.57584381 1.55402234
0.57849335 1.36376648
0.58114290 1.17193336
0.58379241 0.97873300
0.58644195 0.78438242
0.58909146 0.58910452
0.59174100 0.39312693
0.59439051 0.19668088
0.59704006 0.00000016
0.59704006 0.00000016
0.59968412 0.19503542
0.60232821 0.38992264
0.60497227 0.58451410
0.60761637 0.77866349
0.61026042 0.97222636
0.61290448 1.16506073
0.61554858 1.35702770
0.61819263 1.54799196
0.62083673 1.73782237
0.62348079 1.92639248
0.62612485 2.11358096
0.62876894 2.29927208
0.63141300 2.48335610
0.63405710 2.66572960
0.63670115 2.84629585
0.63934521 3.02496498
0.64198931 3.20165430
0.64463336 3.37628836
0.64727746 3.54879909
0.64992152 3.71912585
0.65256557 3.88721538
0.65520967 4.05302177
0.65785373 4.21650630
0.66049778 4.37763723
0.66314188 4.53638960
0.66578594 4.69274489
0.66843004 4.84669067
